step,time,tls_id,phase_index,tls_queue_len,tls_waiting_time_snapshot,tls_mean_speed
130,131.0,318319948,2,1,7.0,8.11919321475085
130,131.0,318319950,3,0,0.0,0.0
130,131.0,344715428,2,0,0.0,8.498094299128217
130,131.0,459095577,0,0,0.0,0.0
130,131.0,459095593,2,2,50.0,5.493275912732461
130,131.0,5672981203,2,0,0.0,0.0
130,131.0,6734642660,0,0,0.0,0.0
130,131.0,728359174,2,0,0.0,0.0
130,131.0,931498932,2,0,0.0,16.1706746457424
130,131.0,cluster_12485993451_12485993457_444743027_999091207,4,0,0.0,0.0
130,131.0,cluster_12485993454_12485993455_12485993456_12485993458_#4more,2,1,20.0,0.0
130,131.0,cluster_12497859354_12497859355,2,0,0.0,0.0
130,131.0,cluster_1846673394_455570130,0,0,0.0,10.6467549322173
130,131.0,cluster_1933957591_1944596256_1944596258_500010840,2,0,0.0,16.28682910073477
130,131.0,cluster_286141464_317863064,0,1,20.0,5.6478809865735045
130,131.0,cluster_317864209_317864212,1,1,24.0,0.0
130,131.0,cluster_318319949_3665705327,2,1,3.0,6.935346067364141
130,131.0,cluster_444929591_444929853,0,0,0.0,0.0
130,131.0,cluster_453491193_453491196,2,1,14.0,7.242231719298446
130,131.0,joinedS_3056282982_cluster_500010834_500010835_500010836_500010837,2,1,13.0,0.0
130,131.0,joinedS_4159783704_4159783713,0,1,13.0,0.0
140,141.0,317267021,0,4,94.0,0.0
140,141.0,318319948,2,1,17.0,0.0
140,141.0,318319950,0,0,0.0,0.0
140,141.0,344715428,2,1,7.0,5.3973569809924795
140,141.0,459095577,2,0,0.0,0.0
140,141.0,459095593,2,3,74.0,0.0
140,141.0,5672981203,2,0,0.0,0.0
140,141.0,6734642660,0,0,0.0,0.0
140,141.0,728359174,2,0,0.0,0.0
140,141.0,931498932,0,0,0.0,0.0
140,141.0,cluster_12485993451_12485993457_444743027_999091207,0,0,0.0,2.1299207783033203
140,141.0,cluster_12485993454_12485993455_12485993456_12485993458_#4more,3,2,32.0,0.6167264444822044
140,141.0,cluster_12497859354_12497859355,0,0,0.0,0.0
140,141.0,cluster_1846673394_455570130,0,0,0.0,0.8849173959810286
140,141.0,cluster_1933957591_1944596256_1944596258_500010840,0,1,2.0,0.00012182468824298675
140,141.0,cluster_286141464_317863064,2,0,0.0,8.167408015459447
140,141.0,cluster_317864209_317864212,3,0,0.0,13.934374725725496
140,141.0,cluster_318319949_3665705327,2,2,20.0,5.552578840708982
140,141.0,cluster_444929591_444929853,2,0,0.0,0.0
140,141.0,cluster_453491193_453491196,2,1,24.0,8.662307972995183
140,141.0,joinedS_3056282982_cluster_500010834_500010835_500010836_500010837,2,1,23.0,0.0
140,141.0,joinedS_4159783704_4159783713,1,1,23.0,0.0
150,151.0,317267021,2,0,0.0,0.0
150,151.0,318319948,0,0,0.0,14.448683062863122
150,151.0,318319950,2,0,0.0,0.0
150,151.0,344715428,2,1,17.0,8.267531174225734
150,151.0,459095577,2,0,0.0,0.0
150,151.0,459095593,2,3,104.0,0.0
150,151.0,5672981203,2,0,0.0,0.0
150,151.0,6734642660,0,0,0.0,0.0
150,151.0,728359174,2,0,0.0,0.0
150,151.0,931498932,2,0,0.0,0.0
150,151.0,cluster_12485993451_12485993457_444743027_999091207,2,2,11.0,1.6000704656493252
150,151.0,cluster_12485993454_12485993455_12485993456_12485993458_#4more,5,3,24.0,0.002200285264964467
150,151.0,cluster_12497859354_12497859355,0,0,0.0,0.0
150,151.0,cluster_1846673394_455570130,0,0,0.0,0.0
150,151.0,cluster_1933957591_1944596256_1944596258_500010840,2,0,0.0,5.689438588980817
150,151.0,cluster_286141464_317863064,0,1,4.0,0.00015957969498979984
150,151.0,cluster_317864209_317864212,5,1,3.0,7.362534826442404
150,151.0,cluster_318319949_3665705327,2,2,40.0,5.437942636084433
150,151.0,cluster_444929591_444929853,4,0,0.0,0.0
150,151.0,cluster_453491193_453491196,2,3,48.0,3.9188751659224224
150,151.0,joinedS_3056282982_cluster_500010834_500010835_500010836_500010837,2,1,33.0,0.0
